NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
3340 / TBAI-54216783X-020121-bhQ4AdhM8jbnX-040 / 448.2723000049591 / 135.99910002946854
3350 / TBAI-48414306L-160221-vR/b/67wlbPj6-047 / 451.1025000214577 / 126.24390000104904
3360 / TBAI-22414846N-120221-xKfjtvs04tb5Q-067 / 454.02689999341965 / 129.72919994592667
3370 / TBAI-93191468E-050121-lEJm2/S8hWQGa-135 / 448.8255000114441 / 149.97310000658035
3380 / TBAI-58171461E-290121-S9Qtg2ffKjWXE-214 / 453.02359998226166 / 135.25849997997284
3390 / TBAI-80864409C-190121-XB/IoGHIia6oO-038 / 456.0076000094414 / 125.26700001955032
3400 / TBAI-36591809M-290121-VizaFfXdLmVeO-085 / 461.7689999938011 / 137.055399954319
3410 / TBAI-29383519F-070221-TYssVc/yt4pur-169 / 460.06629997491837 / 120.53569996356964
3420 / TBAI-63676047H-130221-hPKLe2HSQPd2a-184 / 459.33569997549057 / 135.2791000008583
3430 / TBAI-33414596N-200121-kzqTWwTZyjZAd-116 / 462.81819999217987 / 112.9186999797821
3440 / TBAI-55138424H-120121-mR+cSUCvCmNNh-008 / 468.1723000407219 / 137.30709999799728
3450 / TBAI-81902350V-160121-Dh4pLjs0bfIwf-058 / 473.8515000343323 / 124.99390000104904
3460 / TBAI-92084295T-110221-xv0RpsaoGD75I-004 / 467.9065999984741 / 132.75640004873276
3470 / TBAI-63217186F-220221-jYnDGBCDCbg68-230 / 458.00909996032715 / 122.35840004682541
3480 / TBAI-65225285E-180221-QT2+QwEGGgIPh-085 / 469.8522999882698 / 140.52089995145798
3490 / TBAI-62446499G-080121-LSQaukeHLE9ZX-135 / 472.2261000275612 / 134.1502999663353
3500 / TBAI-67986810Y-090121-SdmdKo0pbcyFE-146 / 470.64890003204346 / 134.52630001306534
3510 / TBAI-55581504A-060121-leKGV8T5YwSDv-239 / 472.09869998693466 / 128.5803999900818
3520 / TBAI-88258119N-100221-NVa4IG1aHHA2E-079 / 476.75300002098083 / 139.328400015831
3530 / TBAI-62498084T-100121-CXrkjJhdWDbkZ-247 / 475.3222000002861 / 127.11750000715256
3540 / TBAI-46388496A-310121-Z3GP49u+l6x9i-105 / 479.0663999915123 / 145.26440000534058
3550 / TBAI-64973595K-190221-y0+AEBJHvcI0a-190 / 473.43180000782013 / 143.503800034523
3560 / TBAI-68436474C-060221-FsCAOV9HE+yU5-112 / 472.9060000181198 / 146.33850002288818
3570 / TBAI-41296921F-190121-S6PVtdXIWjomd-166 / 479.3047000169754 / 148.6777000427246
3580 / TBAI-39839982A-040221-euqUegAnrz0xI-228 / 476.2486000061035 / 142.76910001039505
